motion_1,motion_2,motion_3,motion_4,motion_5,motion_6,pose
0.380622837,0.422222222,0.520504732,0.391463415,0.555704698,0.54659249,0
0.53171857,0.397660819,0.499474238,0.448780488,0.445637584,0.400556328,0
0.453287197,0.380116959,0.545741325,0.446341463,0.500671141,0.347705146,1
0.402537486,0.425730994,0.372239748,0.47804878,0.616107383,0.534075104,0
0.388696655,0.191812865,0.332281809,0.245121951,0.373154362,0.221140473,0
0.602076125,0.371929825,0.515247108,0.56097561,0.496644295,0.340751043,1
0.461361015,0.442105263,0.542586751,0.436585366,0.503355705,0.30876217,1
0.464821223,0.470175439,0.550998948,0.37804878,0.481879195,0.445062587,0
0.628604383,0.428070175,0.316508938,0.396341463,0.405369128,0.318497914,0
0.38177624,0.411695906,0.499474238,0.515853659,0.389261745,0.406119611,0
0.392156863,0.543859649,0.492113565,0.413414634,0.371812081,0.529902643,0
0.430219146,0.388304094,0.597266036,0.312195122,0.50738255,0.369958275,1
0.422145329,0.485380117,0.467928496,0.47195122,0.413422819,0.339360223,0
0.482122261,0.56374269,0.521556257,0.358536585,0.437583893,0.479833102,0
0.425605536,0.45497076,0.535226078,0.387804878,0.465771812,0.438108484,1
0.492502884,0.281871345,0.517350158,0.374390244,0.426845638,0.397774687,1
0.361014994,0.469005848,0,0.630487805,0.393288591,0.28650904,0
0.396770473,0.397660819,0.606729758,0.145121951,0.523489933,0.717663421,0
0.433679354,0.404678363,0.519453207,0.314634146,0.665771812,0.376912378,0
0.385236448,0.286549708,0.711882229,0.242682927,0.609395973,0.490959666,0
0.632064591,0.392982456,0.337539432,0.530487805,0.281879195,0.727399166,0
0.452133795,0.356725146,0.579390116,0.4,0.405369128,0.49930459,0
0.504036909,0.224561404,0.427970557,0.293902439,0.773154362,0.337969402,0
0.514417532,0.378947368,0.572029443,0.468292683,0.347651007,0.399165508,1
0.469434833,0.478362573,0.547844374,0.430487805,0.515436242,0.326842837,1
0.400230681,0.484210526,0.557308097,0.437804878,0.379865772,0.471488178,0
0.380622837,0.506432749,0.537329127,0.434146341,0.488590604,0.344923505,1
0.698961938,0.460818713,0.555205047,0.414634146,0.601342282,0.421418637,0
0.635524798,0.415204678,0.441640379,0.246341463,0.379865772,0.396383866,0
0.456747405,0.47251462,0.507886435,0.432926829,0.515436242,0.403337969,1
0.504036909,0.403508772,0.565720294,0.274390244,0.255033557,0.592489569,0
0.404844291,0.376608187,0.572029443,0.306097561,0.409395973,0.556328234,0
0.487889273,0.469005848,0.456361725,0.390243902,0.628187919,0.278164117,1
0.447520185,0.45380117,0.459516299,0.420731707,0.493959732,0.184979138,1
0.374855825,0.560233918,0.5446898,0.303658537,0.248322148,0.582753825,0
0.505190311,0.430409357,0.47108307,0.418292683,0.487248322,0.422809458,1
0.529411765,0.428070175,0.54679285,0.432926829,0.426845638,0.408901252,1
0.397923875,0.451461988,0.619348055,0.32804878,0.429530201,0.435326843,0
0.441753172,0.446783626,0.474237645,0.509756098,0.532885906,0.392211405,0
0.501730104,0.349707602,0.507886435,0.380487805,0.610738255,0.410292072,1
0.554786621,0.279532164,0.542586751,0.509756098,0.451006711,0.374130737,1
0.479815456,0.447953216,0.513144059,0.367073171,0.481879195,0.421418637,0
0,0.693567251,0.667718191,0.585365854,0.672483221,0.307371349,0
0.429065744,0.569590643,0.54679285,0.437804878,0.461744966,0.392211405,1
0.576701269,0.447953216,0.504731861,0.418292683,0.456375839,0.486787204,0
0.456747405,0.428070175,0.56466877,0.281707317,0.582550336,0.351877608,1
0.549019608,0.504093567,0.405888538,0.556097561,0.473825503,0.33379694,0
0.394463668,0.437426901,0.410094637,0.379268293,0.565100671,0.283727399,0
0.335640138,0.643274854,0.543638275,0.352439024,0.412080537,0.474269819,0
0.583621684,0.65497076,0.474237645,0.402439024,0.489932886,0.506258693,0
0.514417532,0.481871345,0.466876972,0.386585366,0.506040268,0.429763561,1
0.544405998,0.401169591,0.547844374,0.426829268,0.483221477,0.326842837,1
0.46366782,0.412865497,0.423764458,0.264634146,0.437583893,0.442280946,0
0.672433679,0.602339181,0.555205047,0.386585366,0.52885906,0.388038943,0
0.378316032,0.435087719,0.567823344,0.41097561,0.304697987,0.16689847,0
0.489042676,0.426900585,0.513144059,0.431707317,0.461744966,0.472878999,1
0.476355248,0.409356725,0.388012618,0.55,0.551677852,0.490959666,0
0.477508651,0.45380117,0.456361725,0.495121951,0.566442953,0.269819193,1
0.718569781,0.506432749,0.483701367,0.295121951,0.390604027,0.194714882,0
0.442906574,0.422222222,0.522607781,0.391463415,0.52885906,0.456189152,0
0.439446367,0.407017544,0.603575184,0.341463415,0.386577181,0.388038943,0
0.61361015,0.440935673,0.576235542,0.326829268,0.602684564,0.639777469,0
0.418685121,0.459649123,0.527865405,0.403658537,0.46442953,0.481223922,1
0.537485582,0.422222222,0.520504732,0.248780488,0.452348993,0.506258693,0
0.580161476,0.401169591,0.47108307,0.358536585,0.463087248,0.64394993,0
0.467128028,0.192982456,0.660357518,0.381707317,0.515436242,0.363004172,0
0.417531719,0.463157895,0.613038906,0.381707317,0.531543624,0.420027816,1
0.551326413,0.523976608,0.554153523,0.4,0.455033557,0.346314325,0
0.485582468,0.428070175,0.525762355,0.495121951,0.339597315,0.407510431,1
0.519031142,0.438596491,0.537329127,0.385365854,0.401342282,0.559109875,1
0.502883506,0.541520468,0.427970557,0.379268293,0.558389262,0.257301808,0
0.424452134,0.422222222,0.538380652,0.326829268,0.477852349,0.465924896,0
0.539792388,0.456140351,0.465825447,0.440243902,0.457718121,0.218358832,0
0.534025375,0.47251462,0.555205047,0.470731707,0.480536913,0.401947149,1
0.429065744,0.456140351,0.573080967,0.423170732,0.234899329,0.589707928,0
0.461361015,0.377777778,0.617245005,0.345121951,0.512751678,0.442280946,1
0.568627451,0.338011696,0.527865405,0.48902439,0.500671141,0.38108484,1
0.626297578,0.451461988,0.589905363,0.429268293,0.536912752,0.393602225,0
0.522491349,0.440935673,0.464773922,0.514634146,0.405369128,0.420027816,0
0.452133795,0.446783626,0.513144059,0.298780488,0.531543624,0.418636996,1
0.416378316,0.504093567,0.56256572,0.384146341,0.524832215,0.422809458,1
0.441753172,0.373099415,0.554153523,0.462195122,0.412080537,0.479833102,1
0.547866205,0.332163743,0.502628812,0.502439024,0.515436242,0.365785814,1
0.486735871,0.383625731,0.5446898,0.447560976,0.362416107,0.534075104,0
0.385236448,0.439766082,0.539432177,0.448780488,0.459060403,0.401947149,0
0.590542099,0.362573099,0.454258675,0.482926829,0.453691275,0.424200278,0
0.521337947,0.445614035,0.519453207,0.369512195,0.565100671,0.314325452,1
0.520184544,0.405847953,0.462670873,0.417073171,0.441610738,0.335187761,1
0.461361015,0.433918129,0.592008412,0.407317073,0.512751678,0.446453408,1
0.504036909,0.341520468,0.490010515,0.453658537,0.346308725,0.38108484,1
0.52710496,0.457309942,0.466876972,0.402439024,0.425503356,0.418636996,1
0.595155709,0.443274854,0.486855941,0.497560976,0.456375839,0.364394993,0
0.45905421,0.364912281,0.590956887,0.486585366,0.410738255,0.447844228,1
0.450980392,0.504093567,0.496319664,0.397560976,0.516778523,0.408901252,1
0.369088812,0.609356725,0.49106204,0.851219512,0.512751678,0.413073713,0
0.544405998,0.371929825,0.535226078,0.354878049,0.620134228,0.54659249,1
0.582468281,0.483040936,0.38170347,0.4,0.279194631,0.474269819,0
0.418685121,0.456140351,0.521556257,0.359756098,0.434899329,0.456189152,1
0.467128028,0.473684211,0.458464774,0.430487805,0.488590604,0.470097357,1
0.387543253,0.340350877,0.644584648,0.434146341,0.456375839,0.331015299,0
0.539792388,0.442105263,0.552050473,0.493902439,0.374496644,0.717663421,0
0.509803922,0.456140351,0.527865405,0.33902439,0.488590604,0.52294854,1
0.438292964,0.463157895,0.570977918,0.38902439,0.461744966,0.385257302,1
0.456747405,0.314619883,0.520504732,0.490243902,0.430872483,0.471488178,1
0.455594002,0.426900585,0.52681388,0.382926829,0.606711409,0.411682893,1
0.427912341,0.389473684,0.49106204,0.373170732,0.519463087,0.470097357,1
0.464821223,0.423391813,0.512092534,0.425609756,0.426845638,0.436717663,1
0.475201845,0.523976608,0.518401682,0.435365854,0.444295302,0.47705146,0
0.512110727,0.377777778,0.585699264,0.542682927,0.389261745,0.354659249,0
0.486735871,0.329824561,0.539432177,0.452439024,0.302013423,0.536856745,0
0.457900807,0.494736842,0.478443743,0.440243902,0.44295302,0.411682893,1
0.497116494,0.366081871,0.594111462,0.445121951,0.472483221,0.45201669,1
0.456747405,0.458479532,0.519453207,0.37804878,0.429530201,0.456189152,1
0.505190311,0.506432749,0.513144059,0.367073171,0.543624161,0.47705146,1
0.55017301,0.325146199,0.583596215,0.423170732,0.484563758,0.258692629,1
0.455594002,0.440935673,0.499474238,0.401219512,0.418791946,0.472878999,1
0.45905421,0.322807018,0.695057834,0.46097561,0.348993289,0.235048679,0
0.408304498,0.49005848,0.559411146,0.38902439,0.608053691,0.382475661,1
0.327566321,0.501754386,0.475289169,0.412195122,0.563758389,0.655076495,0
0.603229527,0.458479532,0.495268139,0.419512195,0.455033557,0.461752434,0
